,gain
D_75__min,7.760719060897827
D_102__min,7.7604265213012695
D_86__min,7.7591506242752075
R_20__max,7.758618235588074
D_104__mean,7.753803253173828
D_96__last,7.750985145568848
B_32__min,7.75053071975708
D_123__min,7.746060729026794
S_18__mean,7.734669923782349
D_116__top1freq,7.7339975237846375
R_7__max,7.721011161804199
D_109__last,7.719362378120422
R_14__last,7.717949628829956
R_24__std,7.712661623954773
P_2__roll3_std__last,7.709064841270447
S_20__max,7.708416223526001
D_61__max,7.703598260879517
S_23__min,7.703117847442627
S_20__std,7.702614903450012
D_121__std,7.70130980014801
R_4__max,7.700236558914185
D_129__std,7.698785662651062
R_10__last,7.697240829467773
R_13__last,7.695746541023254
D_92__min,7.693079590797424
R_23__last,7.6826159954071045
R_2__mean,7.680798292160034
D_80__last,7.677553057670593
B_27__std,7.676014065742493
R_16__min,7.6747260093688965
R_4__prev__last,7.672721982002258
R_19__std,7.672093033790588
D_94__max,7.671361327171326
R_15__last,7.6708314418792725
D_128__std,7.669358253479004
D_69__mean,7.664798617362976
P_4__min,7.663319706916809
R_10__min,7.663042426109314
S_20__mean,7.6605048179626465
D_81__std,7.659161806106567
S_17__last,7.6543203592300415
R_4__mean,7.651921987533569
R_28__last,7.649084091186523
D_69__max,7.648335099220276
B_32__std,7.646827459335327
S_19__std,7.645029783248901
D_60__std,7.644913911819458
R_18__last,7.643525719642639
D_125__max,7.640633702278137
S_18__min,7.639843702316284
R_28__max,7.638096809387207
D_123__last,7.6340765953063965
R_7__min,7.629071116447449
D_127__min,7.627514004707336
R_23__mean,7.624989032745361
D_103__last,7.624635219573975
S_17__max,7.623562216758728
D_54__max,7.618948817253113
R_13__mean,7.6174476146698
B_19__std,7.6163060665130615
R_17__last,7.610670804977417
R_16__max,7.60865044593811
D_84__min,7.607463479042053
S_27__std,7.604936838150024
R_12__mean,7.602635383605957
D_83__last,7.59867537021637
R_28__min,7.5984885692596436
R_23__max,7.595567584037781
B_19__max,7.59373676776886
R_18__mean,7.591205358505249
R_17__mean,7.58991813659668
B_19__min,7.589612364768982
B_41__std,7.587364315986633
R_11__max,7.585337400436401
R_21__min,7.584940075874329
D_86__std,7.580928564071655
D_48__min,7.57872998714447
D_89__mean,7.5747504234313965
D_107__min,7.574413299560547
B_40__min,7.572805047035217
R_4__std,7.571663856506348
D_113__mean,7.570216059684753
R_3__delta__last,7.565763592720032
R_22__last,7.565528631210327
D_107__last,7.5654057264328
D_89__last,7.565070390701294
R_20__last,7.563419461250305
R_28__std,7.552154898643494
D_80__mean,7.546254515647888
D_133__min,7.544248461723328
D_117__top1freq,7.536851286888123
B_41__max,7.535514950752258
D_109__mean,7.53212308883667
S_6__max,7.525725722312927
S_17__mean,7.524879693984985
B_24__mean,7.524247169494629
D_125__min,7.521262168884277
B_10__min,7.518913626670837
R_8__min,7.51658308506012
D_51__std,7.51366114616394
S_17__std,7.513136029243469
D_130__min,7.508511185646057
D_127__std,7.506122946739197
R_11__min,7.505867004394531
D_94__std,7.501947283744812
D_93__std,7.499439716339111
B_26__min,7.497385740280151
D_93__last,7.49631404876709
D_94__last,7.492014527320862
P_2__min,7.48848295211792
B_32__max,7.486374616622925
B_27__max,7.483875632286072
D_109__max,7.476022005081177
R_12__max,7.474353790283203
D_54__std,7.472338914871216
S_19__last,7.468978762626648
S_17__min,7.468008875846863
D_86__last,7.465889096260071
D_83__max,7.462828159332275
D_81__mean,7.460748195648193
R_5__min,7.459740400314331
R_2__max,7.459628939628601
R_19__last,7.4497621059417725
D_127__last,7.448918581008911
R_19__max,7.4459943771362305
D_139__std,7.443726539611816
R_22__mean,7.442821979522705
R_28__mean,7.44110643863678
B_15__min,7.438958525657654
D_68__last,7.436304807662964
D_86__mean,7.434901595115662
R_6__min,7.430923104286194
P_3__delta__last,7.428149580955505
R_20__mean,7.421992182731628
R_22__min,7.421571254730225
P_4__std,7.4082818031311035
B_21__min,7.397683024406433
D_109__min,7.3873738050460815
D_58__min,7.385083198547363
S_18__last,7.383671879768372
S_20__last,7.382762432098389
S_16__last,7.381634831428528
S_5__min,7.381295204162598
D_81__max,7.378695368766785
R_23__std,7.377421617507935
B_16__std,7.376717925071716
B_32__mean,7.375074982643127
D_93__max,7.374414443969727
B_27__mean,7.374101996421814
D_89__min,7.373100161552429
S_20__min,7.34936261177063
D_92__mean,7.348267555236816
P_2__max,7.343149662017822
R_10__mean,7.334749221801758
D_54__mean,7.330528020858765
S_19__mean,7.3290183544158936
B_22__min,7.3210166692733765
R_14__min,7.31636369228363
D_143__std,7.312188625335693
B_28__last,7.311526656150818
D_46__std,7.310283303260803
D_83__mean,7.309401869773865
R_19__min,7.307058930397034
S_16__min,7.307037949562073
D_125__std,7.30124032497406
D_126__top1freq,7.290757060050964
D_92__max,7.286933422088623
B_8__std,7.276453971862793
D_140__std,7.272366881370544
D_93__mean,7.271414875984192
R_23__min,7.2689292430877686
D_45__std,7.264541268348694
D_140__max,7.2582420110702515
S_6__std,7.25505793094635
D_125__mean,7.25392746925354
S_3__std,7.25072181224823
R_25__max,7.242221236228943
B_32__last,7.2113752365112305
R_15__min,7.209695816040039
D_78__min,7.204508423805237
D_92__std,7.202733039855957
D_107__std,7.197948217391968
S_19__min,7.197046756744385
R_19__mean,7.161214351654053
D_44__min,7.153796911239624
B_33__min,7.147469520568848
R_24__max,7.142398834228516
R_4__min,7.1230069398880005
S_6__min,7.117380738258362
D_94__min,7.111983418464661
B_27__last,7.0973429679870605
B_30__top1freq,7.090447425842285
S_19__max,7.081321477890015
D_120__nuniq,7.026466250419617
B_24__min,7.023019313812256
B_2__mean,7.006940007209778
R_25__last,6.954750418663025
D_114__top1freq,6.938009560108185
D_58__mean,6.894520163536072
D_64__top1freq,6.877074718475342
D_41__mean,6.8658623695373535
D_68__top1freq,6.852233409881592
B_31__top1freq,6.822428822517395
R_2__min,6.810509920120239
D_126__nuniq,6.793916285037994
D_52__std,6.762906908988953
D_47__std,6.654562950134277
B_4__mean,6.653176426887512
B_3__min,6.6451863050460815
B_30__last,6.626522064208984
B_3__mean,6.557666182518005
B_1__max,6.556022822856903
B_2__std,6.322855830192566
B_2__max,6.035540699958801
D_41__min,5.876851141452789
D_116__nuniq,5.745982587337494
D_68__nuniq,5.384795188903809
R_1__min,5.267161846160889
B_1__std,5.228422820568085
D_116__last,5.0666176080703735
B_1__min,4.805232405662537
D_64__nuniq,3.9056861996650696
B_1__mean,3.714628517627716
D_39__mean,3.4986972212791443
B_31__last,3.4971649646759033
D_114__nuniq,3.425289034843445
D_117__nuniq,3.088514566421509
P_2__mean,3.0396809577941895
D_39__min,3.0289308428764343
P_2__std,2.768843799829483
D_87__top1freq,2.3708866834640503
D_63__nuniq,1.9055544137954712
D_87__nuniq,0.9162909984588623
B_31__nuniq,0.0
