,gain
R_8__min,1473.7461194992065
R_20__max,1465.4010610580444
B_16__mean,1464.7064752578735
B_6__mean,1450.785120010376
D_71__max,1449.9112539291382
D_104__mean,1446.014380455017
B_13__last,1438.3033952713013
R_7__max,1438.0216569900513
S_17__max,1421.311149597168
B_28__last,1419.6459789276123
B_23__max,1412.2556972503662
B_33__min,1409.297700881958
D_84__max,1392.0189781188965
B_38__top1freq,1388.5317764282227
R_16__max,1378.0688524246216
D_55__last,1368.946276664734
B_19__min,1332.213376045227
D_58__max,1316.7599048614502
B_6__ewm3__last,1308.3770914077759
B_7__min,1298.3398551940918
B_9__ewm3__last,1294.7439622879028
R_4__mean,1286.3243465423584
B_23__min,1280.8252124786377
B_12__last,1274.788049697876
D_102__last,1251.2809219360352
B_37__std,1245.0475778579712
B_37__mean,1233.447922706604
B_1__mean,1215.5497617721558
B_3__min,1210.3641414642334
D_58__mean,1164.628007888794
S_13__mean,1111.1937770843506
B_37__max,1065.2036991119385
B_23__mean,1035.5593719482422
D_63__top1freq,848.5106687545776
B_31__last,681.9007968902588
B_38__last,681.5712051391602
D_120__top1freq,613.2169008255005
D_126__nuniq,468.91599559783936
D_68__top1freq,441.9903221130371
D_120__nuniq,422.2366943359375
D_117__top1freq,404.1402406692505
D_126__top1freq,318.11776065826416
B_30__last,292.0300989151001
D_64__top1freq,274.35730171203613
D_68__last,229.94539737701416
B_31__top1freq,204.40789604187012
D_117__nuniq,161.57959747314453
D_114__top1freq,152.49965953826904
B_30__nuniq,133.29860019683838
B_38__nuniq,124.99230098724365
D_63__nuniq,101.80949974060059
D_68__nuniq,91.89860153198242
D_116__nuniq,74.62611103057861
D_126__last,74.42632961273193
D_64__nuniq,46.2651891708374
B_31__nuniq,37.65439987182617
D_116__last,20.273799896240234
D_87__top1freq,17.934900283813477
D_114__nuniq,12.356200218200684
D_87__nuniq,0.0
D_116__top1freq,0.0
B_30__top1freq,0.0
